Adjusted for Inflation Flag,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (For Charting),Year (copy)
,,,Kiosk,Value (Adjusted),2013,2013,,$6.8M,1,6.786152156,6.786152156,2013
,,,Kiosk,Value (Adjusted),2014,2014,,$2.8M,1,2.789051821,2.789051821,2014
,,,Kiosk,Value (Adjusted),2015,2015,,$4.0M,1,3.99147413,3.99147413,2015
,,,Kiosk,Value (Adjusted),2016,2016,,$3.1M,1,3.13587911,3.13587911,2016
,,,Kiosk,Value (Adjusted),2017,2017,,$2.4M,1,2.351668038,2.351668038,2017
,,,Kiosk,Value (Adjusted),2018,2018,,$2.0M,1,2.000651969,2.000651969,2018
,,,Kiosk,Value (Adjusted),2019,2019,,$1.6M,1,1.586470587,1.586470587,2019
,,,LP/EP,Value (Adjusted),1973,1973,$7.2B,,1,7174.518513514,7174.518513514,1973
,,,LP/EP,Value (Adjusted),1974,1974,$7.0B,,1,7031.863935091,7031.863935091,1974
,,,LP/EP,Value (Adjusted),1975,1975,$7.1B,,1,7056.703438662,7056.703438662,1975
,,,LP/EP,Value (Adjusted),1976,1976,$7.5B,,1,7472.013901582,7472.013901582,1976
,,,LP/EP,Value (Adjusted),1977,1977,$9.3B,,1,9260.605292079,9260.605292079,1977
,,,LP/EP,Value (Adjusted),1978,1978,$9.7B,,1,9698.105185583,9698.105185583,1978
,,,LP/EP,Value (Adjusted),1979,1979,$7.2B,,1,7243.615,7243.615,1979
,,,LP/EP,Value (Adjusted),1980,1980,$6.8B,,1,6825.79368932,6825.79368932,1980
,,,LP/EP,Value (Adjusted),1981,1981,$6.6B,,1,6586.050570957,6586.050570957,1981
,,,LP/EP,Value (Adjusted),1982,1982,$5.1B,,1,5100.15845285,5100.15845285,1982
,,,LP/EP,Value (Adjusted),1983,1983,$4.3B,,1,4335.388283133,4335.388283133,1983
,,,LP/EP,Value (Adjusted),1984,1984,$3.8B,,1,3810.987118383,3810.987118383,1984
,,,LP/EP,Value (Adjusted),1985,1985,$3.0B,,1,3042.460859665,3042.460859665,1985
,,,LP/EP,Value (Adjusted),1986,1986,$2.3B,,1,2292.982034672,2292.982034672,1986
,,,LP/EP,Value (Adjusted),1987,1987,$1.8B,,1,1784.872946303,1784.872946303,1987
,,,LP/EP,Value (Adjusted),1988,1988,$1.2B,,1,1150.132336433,1150.132336433,1988
,,,LP/EP,Value (Adjusted),1989,1989,,$454.2M,1,454.203525,454.203525,1989
,,,LP/EP,Value (Adjusted),1990,1990,,$169.2M,1,169.199162204,169.199162204,1990
,,,LP/EP,Value (Adjusted),1991,1991,,$55.2M,1,55.185872247,55.185872247,1991
,,,LP/EP,Value (Adjusted),1992,1992,,$24.6M,1,24.59992516,24.59992516,1992
,,,LP/EP,Value (Adjusted),1993,1993,,$18.8M,1,18.754077509,18.754077509,1993
,,,LP/EP,Value (Adjusted),1994,1994,,$30.7M,1,30.706441296,30.706441296,1994
,,,LP/EP,Value (Adjusted),1995,1995,,$42.1M,1,42.106238189,42.106238189,1995
,,,LP/EP,Value (Adjusted),1996,1996,,$60.0M,1,59.962891013,59.962891013,1996
,,,LP/EP,Value (Adjusted),1997,1997,,$53.0M,1,53.042854206,53.042854206,1997
,,,LP/EP,Value (Adjusted),1998,1998,,$53.3M,1,53.327226994,53.327226994,1998
,,,LP/EP,Value (Adjusted),1999,1999,,$48.8M,1,48.79887515,48.79887515,1999
,,,LP/EP,Value (Adjusted),2000,2000,,$41.1M,1,41.124848432,41.124848432,2000
,,,LP/EP,Value (Adjusted),2001,2001,,$39.6M,1,39.5539345,39.5539345,2001
,,,LP/EP,Value (Adjusted),2002,2002,,$29.1M,1,29.132676487,29.132676487,2002
,,,LP/EP,Value (Adjusted),2003,2003,,$30.2M,1,30.150852717,30.150852717,2003
,,,LP/EP,Value (Adjusted),2004,2004,,$26.1M,1,26.120593436,26.120593436,2004
,,,LP/EP,Value (Adjusted),2005,2005,,$18.6M,1,18.58847619,18.58847619,2005
,,,LP/EP,Value (Adjusted),2006,2006,,$19.9M,1,19.909796131,19.909796131,2006
,,,LP/EP,Value (Adjusted),2007,2007,,$28.2M,1,28.24189725,28.24189725,2007
,,,LP/EP,Value (Adjusted),2008,2008,,$67.3M,1,67.327217456,67.327217456,2008
,,,LP/EP,Value (Adjusted),2009,2009,,$76.0M,1,76.028454765,76.028454765,2009
,,,LP/EP,Value (Adjusted),2010,2010,,$104.2M,1,104.229680908,104.229680908,2010
,,,LP/EP,Value (Adjusted),2011,2011,,$135.7M,1,135.705439252,135.705439252,2011
,,,LP/EP,Value (Adjusted),2012,2012,,$179.0M,1,178.967982236,178.967982236,2012
,,,LP/EP,Value (Adjusted),2013,2013,,$231.3M,1,231.274070194,231.274070194,2013
,,,LP/EP,Value (Adjusted),2014,2014,,$263.3M,1,263.336179145,263.336179145,2014
,,,LP/EP,Value (Adjusted),2015,2015,,$359.6M,1,359.598162864,359.598162864,2015
,,,LP/EP,Value (Adjusted),2016,2016,,$378.6M,1,378.607270991,378.607270991,2016
,,,LP/EP,Value (Adjusted),2017,2017,,$405.2M,1,405.212077272,405.212077272,2017
,,,LP/EP,Value (Adjusted),2018,2018,,$426.8M,1,426.820186646,426.820186646,2018
,,,LP/EP,Value (Adjusted),2019,2019,,$497.6M,1,497.588920842,497.588920842,2019
,,,Limited Tier Paid Subscription,Value (Adjusted),1973,1973,,,1,,,1973
,,,Limited Tier Paid Subscription,Value (Adjusted),1974,1974,,,1,,,1974
,,,Limited Tier Paid Subscription,Value (Adjusted),1975,1975,,,1,,,1975
,,,Limited Tier Paid Subscription,Value (Adjusted),1976,1976,,,1,,,1976
,,,Limited Tier Paid Subscription,Value (Adjusted),1977,1977,,,1,,,1977
,,,Limited Tier Paid Subscription,Value (Adjusted),1978,1978,,,1,,,1978
,,,Limited Tier Paid Subscription,Value (Adjusted),1979,1979,,,1,,,1979
,,,Limited Tier Paid Subscription,Value (Adjusted),1980,1980,,,1,,,1980
,,,Limited Tier Paid Subscription,Value (Adjusted),1981,1981,,,1,,,1981
,,,Limited Tier Paid Subscription,Value (Adjusted),1982,1982,,,1,,,1982
,,,Limited Tier Paid Subscription,Value (Adjusted),1983,1983,,,1,,,1983
,,,Limited Tier Paid Subscription,Value (Adjusted),1984,1984,,,1,,,1984
,,,Limited Tier Paid Subscription,Value (Adjusted),1985,1985,,,1,,,1985
,,,Limited Tier Paid Subscription,Value (Adjusted),1986,1986,,,1,,,1986
,,,Limited Tier Paid Subscription,Value (Adjusted),1987,1987,,,1,,,1987
,,,Limited Tier Paid Subscription,Value (Adjusted),1988,1988,,,1,,,1988
,,,Limited Tier Paid Subscription,Value (Adjusted),1989,1989,,,1,,,1989
,,,Limited Tier Paid Subscription,Value (Adjusted),1990,1990,,,1,,,1990
,,,Limited Tier Paid Subscription,Value (Adjusted),1991,1991,,,1,,,1991
,,,Limited Tier Paid Subscription,Value (Adjusted),1992,1992,,,1,,,1992
,,,Limited Tier Paid Subscription,Value (Adjusted),1993,1993,,,1,,,1993
,,,Limited Tier Paid Subscription,Value (Adjusted),1994,1994,,,1,,,1994
,,,Limited Tier Paid Subscription,Value (Adjusted),1995,1995,,,1,,,1995
,,,Limited Tier Paid Subscription,Value (Adjusted),1996,1996,,,1,,,1996
,,,Limited Tier Paid Subscription,Value (Adjusted),1997,1997,,,1,,,1997
,,,Limited Tier Paid Subscription,Value (Adjusted),1998,1998,,,1,,,1998
,,,Limited Tier Paid Subscription,Value (Adjusted),1999,1999,,,1,,,1999
,,,Limited Tier Paid Subscription,Value (Adjusted),2000,2000,,,1,,,2000
,,,Limited Tier Paid Subscription,Value (Adjusted),2001,2001,,,1,,,2001
,,,Limited Tier Paid Subscription,Value (Adjusted),2002,2002,,,1,,,2002
,,,Limited Tier Paid Subscription,Value (Adjusted),2003,2003,,,1,,,2003
,,,Limited Tier Paid Subscription,Value (Adjusted),2004,2004,,,1,,,2004
,,,Limited Tier Paid Subscription,Value (Adjusted),2005,2005,,,1,,,2005
,,,Limited Tier Paid Subscription,Value (Adjusted),2006,2006,,,1,,,2006
,,,Limited Tier Paid Subscription,Value (Adjusted),2007,2007,,,1,,,2007
,,,Limited Tier Paid Subscription,Value (Adjusted),2008,2008,,,1,,,2008
,,,Limited Tier Paid Subscription,Value (Adjusted),2009,2009,,,1,,,2009
,,,Limited Tier Paid Subscription,Value (Adjusted),2010,2010,,,1,,,2010
,,,Limited Tier Paid Subscription,Value (Adjusted),2011,2011,,,1,,,2011
,,,Limited Tier Paid Subscription,Value (Adjusted),2012,2012,,,1,,,2012
,,,Limited Tier Paid Subscription,Value (Adjusted),2013,2013,,,1,,,2013
,,,Limited Tier Paid Subscription,Value (Adjusted),2014,2014,,,1,,,2014
,,,Limited Tier Paid Subscription,Value (Adjusted),2015,2015,,,1,,,2015
,,,Limited Tier Paid Subscription,Value (Adjusted),2016,2016,,$280.5M,1,280.536691286,280.536691286,2016
,,,Limited Tier Paid Subscription,Value (Adjusted),2017,2017,,$617.0M,1,617.032317981,617.032317981,2017
,,,Limited Tier Paid Subscription,Value (Adjusted),2018,2018,,$760.6M,1,760.591366006,760.591366006,2018
,,,Limited Tier Paid Subscription,Value (Adjusted),2019,2019,,$829.5M,1,829.498739675,829.498739675,2019
,,,Music Video (Physical),Value (Adjusted),1973,1973,,,1,,,1973
,,,Music Video (Physical),Value (Adjusted),1974,1974,,,1,,,1974
,,,Music Video (Physical),Value (Adjusted),1975,1975,,,1,,,1975
,,,Music Video (Physical),Value (Adjusted),1976,1976,,,1,,,1976
,,,Music Video (Physical),Value (Adjusted),1977,1977,,,1,,,1977
,,,Music Video (Physical),Value (Adjusted),1978,1978,,,1,,,1978
,,,Music Video (Physical),Value (Adjusted),1979,1979,,,1,,,1979
,,,Music Video (Physical),Value (Adjusted),1980,1980,,,1,,,1980
,,,Music Video (Physical),Value (Adjusted),1981,1981,,,1,,,1981
,,,Music Video (Physical),Value (Adjusted),1982,1982,,,1,,,1982
,,,Music Video (Physical),Value (Adjusted),1983,1983,,,1,,,1983
,,,Music Video (Physical),Value (Adjusted),1984,1984,,,1,,,1984
,,,Music Video (Physical),Value (Adjusted),1985,1985,,,1,,,1985
,,,Music Video (Physical),Value (Adjusted),1986,1986,,,1,,,1986
,,,Music Video (Physical),Value (Adjusted),1987,1987,,,1,,,1987
,,,Music Video (Physical),Value (Adjusted),1988,1988,,,1,,,1988
,,,Music Video (Physical),Value (Adjusted),1989,1989,,$237.9M,1,237.92595,237.92595,1989
,,,Music Video (Physical),Value (Adjusted),1990,1990,,$337.0M,1,337.029082632,337.029082632,1990
,,,Music Video (Physical),Value (Adjusted),1991,1991,,$221.7M,1,221.682024229,221.682024229,1991
,,,Music Video (Physical),Value (Adjusted),1992,1992,,$286.8M,1,286.816905203,286.816905203,1992
,,,Music Video (Physical),Value (Adjusted),1993,1993,,$377.4M,1,377.381578547,377.381578547,1993
,,,Music Video (Physical),Value (Adjusted),1994,1994,,$398.7M,1,398.666212551,398.666212551,1994
,,,Music Video (Physical),Value (Adjusted),1995,1995,,$369.6M,1,369.561923228,369.561923228,1995
,,,Music Video (Physical),Value (Adjusted),1996,1996,,$384.7M,1,384.70756979,384.70756979,1996
,,,Music Video (Physical),Value (Adjusted),1997,1997,,$515.9M,1,515.933347664,515.933347664,1997
,,,Music Video (Physical),Value (Adjusted),1998,1998,,$796.8M,1,796.771509202,796.771509202,1998
,,,Music Video (Physical),Value (Adjusted),1999,1999,,$578.1M,1,578.067178271,578.067178271,1999
,,,Music Video (Physical),Value (Adjusted),2000,2000,,$418.5M,1,418.523277003,418.523277003,2000
,,,Music Video (Physical),Value (Adjusted),2001,2001,,$475.2M,1,475.224643704,475.224643704,2001
,,,Music Video (Physical),Value (Adjusted),2002,2002,,$409.8M,1,409.847019455,409.847019455,2002
,,,Music Video (Physical),Value (Adjusted),2003,2003,,$555.6M,1,555.637142935,555.637142935,2003
,,,Music Video (Physical),Value (Adjusted),2004,2004,,$821.8M,1,821.783644256,821.783644256,2004
,,,Music Video (Physical),Value (Adjusted),2005,2005,,$788.3M,1,788.30847619,788.30847619,2005
,,,Music Video (Physical),Value (Adjusted),2006,2006,,$572.1M,1,572.057900298,572.057900298,2006
,,,Music Video (Physical),Value (Adjusted),2007,2007,,$598.0M,1,598.012924747,598.012924747,2007
,,,Music Video (Physical),Value (Adjusted),2008,2008,,$269.9M,1,269.902584265,269.902584265,2008
,,,Music Video (Physical),Value (Adjusted),2009,2009,,$249.8M,1,249.77373227,249.77373227,2009
,,,Music Video (Physical),Value (Adjusted),2010,2010,,$208.2M,1,208.224874344,208.224874344,2010
,,,Music Video (Physical),Value (Adjusted),2011,2011,,$171.6M,1,171.620781634,171.620781634,2011
,,,Music Video (Physical),Value (Adjusted),2012,2012,,$129.9M,1,129.85137719,129.85137719,2012
,,,Music Video (Physical),Value (Adjusted),2013,2013,,$116.6M,1,116.639672376,116.639672376,2013
,,,Music Video (Physical),Value (Adjusted),2014,2014,,$96.9M,1,96.875251056,96.875251056,2014
,,,Music Video (Physical),Value (Adjusted),2015,2015,,$76.0M,1,75.973614493,75.973614493,2015
,,,Music Video (Physical),Value (Adjusted),2016,2016,,$60.6M,1,60.634642175,60.634642175,2016
,,,Music Video (Physical),Value (Adjusted),2017,2017,,$40.3M,1,40.279585351,40.279585351,2017
,,,Music Video (Physical),Value (Adjusted),2018,2018,,$28.1M,1,28.060663877,28.060663877,2018
,,,Music Video (Physical),Value (Adjusted),2019,2019,,$27.7M,1,27.705246783,27.705246783,2019
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1973,1973,,,1,,,1973
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1974,1974,,,1,,,1974
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1975,1975,,,1,,,1975
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1976,1976,,,1,,,1976
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1977,1977,,,1,,,1977
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1978,1978,,,1,,,1978
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1979,1979,,,1,,,1979
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1980,1980,,,1,,,1980
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1981,1981,,,1,,,1981
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1982,1982,,,1,,,1982
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1983,1983,,,1,,,1983
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1984,1984,,,1,,,1984
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1985,1985,,,1,,,1985
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1986,1986,,,1,,,1986
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1987,1987,,,1,,,1987
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1988,1988,,,1,,,1988
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1989,1989,,,1,,,1989
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1990,1990,,,1,,,1990
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1991,1991,,,1,,,1991
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1992,1992,,,1,,,1992
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1993,1993,,,1,,,1993
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1994,1994,,,1,,,1994
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1995,1995,,,1,,,1995
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1996,1996,,,1,,,1996
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1997,1997,,,1,,,1997
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1998,1998,,,1,,,1998
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),1999,1999,,,1,,,1999
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2000,2000,,,1,,,2000
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2001,2001,,,1,,,2001
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2002,2002,,,1,,,2002
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2003,2003,,,1,,,2003
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2004,2004,,,1,,,2004
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2005,2005,,,1,,,2005
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2006,2006,,,1,,,2006
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2007,2007,,,1,,,2007
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2008,2008,,,1,,,2008
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2009,2009,,,1,,,2009
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2010,2010,,,1,,,2010
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2011,2011,,$129.3M,1,129.340695033,129.340695033,2011
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2012,2012,,$190.3M,1,190.339615647,190.339615647,2012
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2013,2013,,$242.4M,1,242.396097837,242.396097837,2013
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2014,2014,,$306.5M,1,306.475448007,306.475448007,2014
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2015,2015,,$401.2M,1,401.245264147,401.245264147,2015
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2016,2016,,$521.3M,1,521.288175026,521.288175026,2016
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2017,2017,,$686.9M,1,686.918081261,686.918081261,2017
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2018,2018,,$773.3M,1,773.294916688,773.294916688,2018
,,,On-Demand Streaming (Ad-Supported),Value (Adjusted),2019,2019,,$908.1M,1,908.149330523,908.149330523,2019
,,,Other Ad-Supported Streaming,Value (Adjusted),1973,1973,,,1,,,1973
,,,Other Ad-Supported Streaming,Value (Adjusted),1974,1974,,,1,,,1974
,,,Other Ad-Supported Streaming,Value (Adjusted),1975,1975,,,1,,,1975
,,,Other Ad-Supported Streaming,Value (Adjusted),1976,1976,,,1,,,1976
,,,Other Ad-Supported Streaming,Value (Adjusted),1977,1977,,,1,,,1977
,,,Other Ad-Supported Streaming,Value (Adjusted),1978,1978,,,1,,,1978
,,,Other Ad-Supported Streaming,Value (Adjusted),1979,1979,,,1,,,1979
,,,Other Ad-Supported Streaming,Value (Adjusted),1980,1980,,,1,,,1980
,,,Other Ad-Supported Streaming,Value (Adjusted),1981,1981,,,1,,,1981
,,,Other Ad-Supported Streaming,Value (Adjusted),1982,1982,,,1,,,1982
,,,Other Ad-Supported Streaming,Value (Adjusted),1983,1983,,,1,,,1983
,,,Other Ad-Supported Streaming,Value (Adjusted),1984,1984,,,1,,,1984
,,,Other Ad-Supported Streaming,Value (Adjusted),1985,1985,,,1,,,1985
,,,Other Ad-Supported Streaming,Value (Adjusted),1986,1986,,,1,,,1986
,,,Other Ad-Supported Streaming,Value (Adjusted),1987,1987,,,1,,,1987
,,,Other Ad-Supported Streaming,Value (Adjusted),1988,1988,,,1,,,1988
,,,Other Ad-Supported Streaming,Value (Adjusted),1989,1989,,,1,,,1989
,,,Other Ad-Supported Streaming,Value (Adjusted),1990,1990,,,1,,,1990
,,,Other Ad-Supported Streaming,Value (Adjusted),1991,1991,,,1,,,1991
,,,Other Ad-Supported Streaming,Value (Adjusted),1992,1992,,,1,,,1992
,,,Other Ad-Supported Streaming,Value (Adjusted),1993,1993,,,1,,,1993
,,,Other Ad-Supported Streaming,Value (Adjusted),1994,1994,,,1,,,1994
,,,Other Ad-Supported Streaming,Value (Adjusted),1995,1995,,,1,,,1995
,,,Other Ad-Supported Streaming,Value (Adjusted),1996,1996,,,1,,,1996
,,,Other Ad-Supported Streaming,Value (Adjusted),1997,1997,,,1,,,1997
,,,Other Ad-Supported Streaming,Value (Adjusted),1998,1998,,,1,,,1998
,,,Other Ad-Supported Streaming,Value (Adjusted),1999,1999,,,1,,,1999
,,,Other Ad-Supported Streaming,Value (Adjusted),2000,2000,,,1,,,2000
,,,Other Ad-Supported Streaming,Value (Adjusted),2001,2001,,,1,,,2001
,,,Other Ad-Supported Streaming,Value (Adjusted),2002,2002,,,1,,,2002
,,,Other Ad-Supported Streaming,Value (Adjusted),2003,2003,,,1,,,2003
,,,Other Ad-Supported Streaming,Value (Adjusted),2004,2004,,,1,,,2004
,,,Other Ad-Supported Streaming,Value (Adjusted),2005,2005,,,1,,,2005
,,,Other Ad-Supported Streaming,Value (Adjusted),2006,2006,,,1,,,2006
,,,Other Ad-Supported Streaming,Value (Adjusted),2007,2007,,,1,,,2007
,,,Other Ad-Supported Streaming,Value (Adjusted),2008,2008,,,1,,,2008
,,,Other Ad-Supported Streaming,Value (Adjusted),2009,2009,,,1,,,2009
,,,Other Ad-Supported Streaming,Value (Adjusted),2010,2010,,,1,,,2010
,,,Other Ad-Supported Streaming,Value (Adjusted),2011,2011,,,1,,,2011
,,,Other Ad-Supported Streaming,Value (Adjusted),2012,2012,,,1,,,2012
,,,Other Ad-Supported Streaming,Value (Adjusted),2013,2013,,,1,,,2013
,,,Other Ad-Supported Streaming,Value (Adjusted),2014,2014,,,1,,,2014
,,,Other Ad-Supported Streaming,Value (Adjusted),2015,2015,,,1,,,2015
,,,Other Ad-Supported Streaming,Value (Adjusted),2016,2016,,$86.6M,1,86.559596683,86.559596683,2016
,,,Other Ad-Supported Streaming,Value (Adjusted),2017,2017,,$273.0M,1,273.040319024,273.040319024,2017
,,,Other Ad-Supported Streaming,Value (Adjusted),2018,2018,,$256.0M,1,255.967443871,255.967443871,2018
,,,Other Ad-Supported Streaming,Value (Adjusted),2019,2019,,$251.1M,1,251.064710118,251.064710118,2019
,,,Other Digital,Value (Adjusted),1973,1973,,,1,,,1973
,,,Other Digital,Value (Adjusted),1974,1974,,,1,,,1974
,,,Other Digital,Value (Adjusted),1975,1975,,,1,,,1975
,,,Other Digital,Value (Adjusted),1976,1976,,,1,,,1976
,,,Other Digital,Value (Adjusted),1977,1977,,,1,,,1977
,,,Other Digital,Value (Adjusted),1978,1978,,,1,,,1978
,,,Other Digital,Value (Adjusted),1979,1979,,,1,,,1979
,,,Other Digital,Value (Adjusted),1980,1980,,,1,,,1980
,,,Other Digital,Value (Adjusted),1981,1981,,,1,,,1981
,,,Other Digital,Value (Adjusted),1982,1982,,,1,,,1982
,,,Other Digital,Value (Adjusted),1983,1983,,,1,,,1983
,,,Other Digital,Value (Adjusted),1984,1984,,,1,,,1984
,,,Other Digital,Value (Adjusted),1985,1985,,,1,,,1985
,,,Other Digital,Value (Adjusted),1986,1986,,,1,,,1986
,,,Other Digital,Value (Adjusted),1987,1987,,,1,,,1987
,,,Other Digital,Value (Adjusted),1988,1988,,,1,,,1988
,,,Other Digital,Value (Adjusted),1989,1989,,,1,,,1989
,,,Other Digital,Value (Adjusted),1990,1990,,,1,,,1990
,,,Other Digital,Value (Adjusted),1991,1991,,,1,,,1991
,,,Other Digital,Value (Adjusted),1992,1992,,,1,,,1992
,,,Other Digital,Value (Adjusted),1993,1993,,,1,,,1993
,,,Other Digital,Value (Adjusted),1994,1994,,,1,,,1994
,,,Other Digital,Value (Adjusted),1995,1995,,,1,,,1995
,,,Other Digital,Value (Adjusted),1996,1996,,,1,,,1996
,,,Other Digital,Value (Adjusted),1997,1997,,,1,,,1997
,,,Other Digital,Value (Adjusted),1998,1998,,,1,,,1998
,,,Other Digital,Value (Adjusted),1999,1999,,,1,,,1999
,,,Other Digital,Value (Adjusted),2000,2000,,,1,,,2000
,,,Other Digital,Value (Adjusted),2001,2001,,,1,,,2001
,,,Other Digital,Value (Adjusted),2002,2002,,,1,,,2002
,,,Other Digital,Value (Adjusted),2003,2003,,,1,,,2003
,,,Other Digital,Value (Adjusted),2004,2004,,,1,,,2004
,,,Other Digital,Value (Adjusted),2005,2005,,,1,,,2005
,,,Other Digital,Value (Adjusted),2006,2006,,,1,,,2006
,,,Other Digital,Value (Adjusted),2007,2007,,,1,,,2007
,,,Other Digital,Value (Adjusted),2008,2008,,,1,,,2008
,,,Other Digital,Value (Adjusted),2009,2009,,,1,,,2009
,,,Other Digital,Value (Adjusted),2010,2010,,,1,,,2010
,,,Other Digital,Value (Adjusted),2011,2011,,,1,,,2011
,,,Other Digital,Value (Adjusted),2012,2012,,,1,,,2012
,,,Other Digital,Value (Adjusted),2013,2013,,,1,,,2013
,,,Other Digital,Value (Adjusted),2014,2014,,,1,,,2014
,,,Other Digital,Value (Adjusted),2015,2015,,,1,,,2015
,,,Other Digital,Value (Adjusted),2016,2016,,$18.3M,1,18.259409536,18.259409536,2016
,,,Other Digital,Value (Adjusted),2017,2017,,$17.6M,1,17.610951916,17.610951916,2017
,,,Other Digital,Value (Adjusted),2018,2018,,$20.2M,1,20.199063312,20.199063312,2018
,,,Other Digital,Value (Adjusted),2019,2019,,$21.5M,1,21.517175006,21.517175006,2019
,,,Other Tapes,Value (Adjusted),1973,1973,,$89.8M,1,89.825432432,89.825432432,1973
,,,Other Tapes,Value (Adjusted),1974,1974,,$69.0M,1,68.970346856,68.970346856,1974
,,,Other Tapes,Value (Adjusted),1975,1975,,$48.5M,1,48.470286245,48.470286245,1975
,,,Other Tapes,Value (Adjusted),1976,1976,,$22.9M,1,22.914775044,22.914775044,1976
,,,Other Tapes,Value (Adjusted),1977,1977,,,1,,,1977
,,,Other Tapes,Value (Adjusted),1978,1978,,,1,,,1978
,,,Other Tapes,Value (Adjusted),1979,1979,,,1,,,1979
,,,Other Tapes,Value (Adjusted),1980,1980,,,1,,,1980
,,,Other Tapes,Value (Adjusted),1981,1981,,,1,,,1981
,,,Other Tapes,Value (Adjusted),1982,1982,,,1,,,1982
,,,Other Tapes,Value (Adjusted),1983,1983,,,1,,,1983
,,,Other Tapes,Value (Adjusted),1984,1984,,,1,,,1984
,,,Other Tapes,Value (Adjusted),1985,1985,,,1,,,1985
,,,Other Tapes,Value (Adjusted),1986,1986,,,1,,,1986
,,,Other Tapes,Value (Adjusted),1987,1987,,,1,,,1987
,,,Other Tapes,Value (Adjusted),1988,1988,,,1,,,1988
,,,Other Tapes,Value (Adjusted),1989,1989,,,1,,,1989
,,,Other Tapes,Value (Adjusted),1990,1990,,,1,,,1990
,,,Other Tapes,Value (Adjusted),1991,1991,,,1,,,1991
,,,Other Tapes,Value (Adjusted),1992,1992,,,1,,,1992
,,,Other Tapes,Value (Adjusted),1993,1993,,,1,,,1993
,,,Other Tapes,Value (Adjusted),1994,1994,,,1,,,1994
,,,Other Tapes,Value (Adjusted),1995,1995,,,1,,,1995
,,,Other Tapes,Value (Adjusted),1996,1996,,,1,,,1996
,,,Other Tapes,Value (Adjusted),1997,1997,,,1,,,1997
,,,Other Tapes,Value (Adjusted),1998,1998,,,1,,,1998
,,,Other Tapes,Value (Adjusted),1999,1999,,,1,,,1999
,,,Other Tapes,Value (Adjusted),2000,2000,,,1,,,2000
,,,Other Tapes,Value (Adjusted),2001,2001,,,1,,,2001
,,,Other Tapes,Value (Adjusted),2002,2002,,,1,,,2002
,,,Other Tapes,Value (Adjusted),2003,2003,,,1,,,2003
,,,Other Tapes,Value (Adjusted),2004,2004,,,1,,,2004
,,,Other Tapes,Value (Adjusted),2005,2005,,,1,,,2005
,,,Other Tapes,Value (Adjusted),2006,2006,,,1,,,2006
,,,Other Tapes,Value (Adjusted),2007,2007,,,1,,,2007
,,,Other Tapes,Value (Adjusted),2008,2008,,,1,,,2008
